# Generated from ../data/13JUL2013/000.dat
time gyro_x lean_est lean_rate_est steer steer_est steer_rate_est v v_c
22.7 -0.00542973 -0.00389448 -0.00446343 -0.00439823 -0.00449949 -0.00869774 1.79821 2
22.72 0.00607737 -0.000265713 -0.000622137 -0.00502655 -0.00474414 -0.00899642 1.81593 2
22.74 -0.00048097 2.30365e-05 -0.000737576 -0.00565487 -0.00500494 0.017733 1.82079 2
22.76 -0.00679446 -0.00319489 -0.00418861 -0.00565487 -0.00510779 0.0194699 1.82691 2
22.78 0.000186797 -0.003162 -0.00356865 -0.00596903 -0.00540135 -0.0060308 1.83115 2
22.8 0.00409442 0.00182171 0.0013999 -0.00596903 -0.00564302 0.0141933 1.83581 2
22.82 -0.00516283 -0.000911924 -0.00237524 -0.00596903 -0.00527683 0.042209 1.8474 2
22.84 0.00345905 -0.00108108 -0.00230161 -0.00628319 -0.00528933 0.027333 1.85213 2
22.86 0.0121039 0.00519061 0.0040533 -0.00659734 -0.00546056 0.0495622 1.85346 2
22.88 -0.00487867 0.000984637 -0.00114168 -0.00659734 -0.0051619 0.0812413 1.85858 2
22.9 -0.00489403 -0.00290636 -0.00484726 -0.00628319 -0.00494437 0.0519664 1.86002 2
22.92 0.00762321 0.00323822 0.00181126 -0.00628319 -0.00502547 0.046773 1.86389 2
22.94 -0.00591695 0.00258023 0.000342797 -0.00628319 -0.00480887 0.0835505 1.86497 2
22.96 -0.000783388 -0.00167295 -0.0038682 -0.00628319 -0.00462661 0.064747 1.87003 2
22.98 0.00946651 0.00265769 0.00120766 -0.00659734 -0.00489357 0.0525613 1.8808 2
23 -0.0011208 0.00336998 0.00148406 -0.00659734 -0.00488903 0.0839683 1.88277 2
23.02 -0.00769913 -0.0014602 -0.00346843 -0.00659734 -0.00476699 0.0764151 1.87952 2
23.04 0.0132917 0.00317414 0.00176244 -0.00628319 -0.0047584 0.0594207 1.8786 2
23.06 4.38705e-05 0.00375708 0.00170417 -0.00628319 -0.00454822 0.0916063 1.87186 2
23.08 -0.0024218 0.000223638 -0.00215074 -0.00628319 -0.00425762 0.0917236 1.87657 2
23.1 0.00621531 0.00212859 0.000227992 -0.00596903 -0.00421102 0.0738458 1.88504 2
23.12 0.00639362 0.0069866 0.00450565 -0.00565487 -0.00384581 0.109213 1.8849 2
23.14 -0.00553209 0.00209563 -0.00134004 -0.00534071 -0.00315085 0.123819 1.88738 2
23.16 0.00782183 0.00283983 -0.000251285 -0.00534071 -0.00284612 0.100776 1.88808 2
23.18 0.0101943 0.00938978 0.00606576 -0.00502655 -0.00257688 0.130142 1.8908 2
23.2 -0.00113368 0.00628575 0.00149174 -0.00439823 -0.00160098 0.169723 1.90408 2
23.22 -0.00334123 0.00125095 -0.00371341 -0.00376991 -0.000806048 0.138919 1.89899 2
23.24 0.00522825 0.00611729 0.0014698 -0.00314159 -0.000427922 0.127119 1.90416 2
